,id,category,path,scientific_name,family,genus,species,parent_folder,child_folder
0,00000__001,0,000/00/00000__001.jpg,Abies amabilis (Douglas ex Loudon) J.Forbes,Pinaceae,Abies,amabilis,000,00
1,00001__001,1,000/01/00001__001.jpg,Abies balsamea (L.) Mill.,Pinaceae,Abies,balsamea,000,01
2,00002__001,2,000/02/00002__001.jpg,Abies bracteata (D.Don) Poit.,Pinaceae,Abies,bracteata,000,02
3,00003__001,3,000/03/00003__001.jpg,Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.,Pinaceae,Abies,concolor,000,03
4,00004__001,4,000/04/00004__001.jpg,Abies fraseri (Pursh) Poir.,Pinaceae,Abies,fraseri,000,04
5,00005__001,5,000/05/00005__001.jpg,Abies grandis (Douglas ex D.Don) Lindl.,Pinaceae,Abies,grandis,000,05
6,00006__001,6,000/06/00006__001.jpg,Abies lasiocarpa (Hook.) Nutt.,Pinaceae,Abies,lasiocarpa,000,06
7,00007__001,7,000/07/00007__001.jpg,Abies magnifica A.Murray bis,Pinaceae,Abies,magnifica,000,07
8,00008__001,8,000/08/00008__001.jpg,Abies procera Rehder,Pinaceae,Abies,procera,000,08
9,00009__001,9,000/09/00009__001.jpg,Abronia ameliae Lundell,Nyctaginaceae,Abronia,ameliae,000,09
10,00010__001,10,000/10/00010__001.jpg,Abronia angustifolia Greene,Nyctaginaceae,Abronia,angustifolia,000,10
11,00011__001,11,000/11/00011__001.jpg,Abronia argillosa S.L.Welsh & Goodrich,Nyctaginaceae,Abronia,argillosa,000,11
12,00012__002,12,000/12/00012__002.jpg,Abronia bigelovii Heimerl,Nyctaginaceae,Abronia,bigelovii,000,12
13,00013__001,13,000/13/00013__001.jpg,Abronia carletonii J.M.Coult. & Fisher,Nyctaginaceae,Abronia,carletonii,000,13
14,00014__001,14,000/14/00014__001.jpg,Abronia elliptica A.Nelson,Nyctaginaceae,Abronia,elliptica,000,14
15,00015__001,15,000/15/00015__001.jpg,Abronia fragrans Nutt. ex Hook.,Nyctaginaceae,Abronia,fragrans,000,15
16,00016__002,16,000/16/00016__002.jpg,Abronia latifolia Eschsch.,Nyctaginaceae,Abronia,latifolia,000,16
17,00017__002,17,000/17/00017__002.jpg,Abronia maritima Nutt. ex S.Watson,Nyctaginaceae,Abronia,maritima,000,17
18,00018__001,18,000/18/00018__001.jpg,Abronia mellifera Douglas ex Hook.,Nyctaginaceae,Abronia,mellifera,000,18
19,00019__001,19,000/19/00019__001.jpg,Abronia nana S.Watson,Nyctaginaceae,Abronia,nana,000,19
20,00020__001,20,000/20/00020__001.jpg,Abronia pogonantha Heimerl,Nyctaginaceae,Abronia,pogonantha,000,20
21,00021__002,21,000/21/00021__002.jpg,Abronia turbinata Torr. ex S.Watson,Nyctaginaceae,Abronia,turbinata,000,21
22,00022__001,22,000/22/00022__001.jpg,Abronia umbellata Lam.,Nyctaginaceae,Abronia,umbellata,000,22
23,00023__001,23,000/23/00023__001.jpg,Abronia villosa S.Watson,Nyctaginaceae,Abronia,villosa,000,23
24,00024__001,24,000/24/00024__001.jpg,Abuta grandifolia (Mart.) Sandwith,Menispermaceae,Abuta,grandifolia,000,24
25,00025__001,25,000/25/00025__001.jpg,Abutilon abutiloides (Jacq.) Garcke ex Hochr.,Malvaceae,Abutilon,abutiloides,000,25
26,00026__001,26,000/26/00026__001.jpg,Abutilon berlandieri A.Gray,Malvaceae,Abutilon,berlandieri,000,26
27,00027__001,27,000/27/00027__001.jpg,Abutilon fruticosum Guill. & Perr.,Malvaceae,Abutilon,fruticosum,000,27
28,00028__001,28,000/28/00028__001.jpg,Abutilon glabriflorum Hochr.,Malvaceae,Abutilon,glabriflorum,000,28
29,00029__001,29,000/29/00029__001.jpg,Abutilon grandifolium (Willd.) Sweet,Malvaceae,Abutilon,grandifolium,000,29
30,00030__001,30,000/30/00030__001.jpg,Abutilon hulseanum (Torr. & A.Gray) Torr. ex Baker f.,Malvaceae,Abutilon,hulseanum,000,30
31,00031__001,31,000/31/00031__001.jpg,Abutilon hypoleucum A.Gray,Malvaceae,Abutilon,hypoleucum,000,31
32,00032__001,32,000/32/00032__001.jpg,Abutilon incanum (Link) Sweet,Malvaceae,Abutilon,incanum,000,32
33,00033__001,33,000/33/00033__001.jpg,Abutilon indicum (L.) Sweet,Malvaceae,Abutilon,indicum,000,33
34,00034__001,34,000/34/00034__001.jpg,Abutilon malacum S.Watson,Malvaceae,Abutilon,malacum,000,34
35,00035__001,35,000/35/00035__001.jpg,Abutilon mollicomum (Willd.) Sweet,Malvaceae,Abutilon,mollicomum,000,35
36,00036__001,36,000/36/00036__001.jpg,Abutilon palmeri A.Gray,Malvaceae,Abutilon,palmeri,000,36
37,00037__002,37,000/37/00037__002.jpg,Abutilon parishii S.Watson,Malvaceae,Abutilon,parishii,000,37
38,00038__002,38,000/38/00038__002.jpg,Abutilon parvulum A.Gray,Malvaceae,Abutilon,parvulum,000,38
39,00039__001,39,000/39/00039__001.jpg,Abutilon permolle (Willd.) Sweet,Malvaceae,Abutilon,permolle,000,39
40,00040__001,40,000/40/00040__001.jpg,Abutilon reventum S.Watson,Malvaceae,Abutilon,reventum,000,40
41,00041__002,41,000/41/00041__002.jpg,Abutilon theophrasti Medik.,Malvaceae,Abutilon,theophrasti,000,41
42,00042__001,42,000/42/00042__001.jpg,Abutilon trisulcatum (Jacq.) Urb.,Malvaceae,Abutilon,trisulcatum,000,42
43,00043__001,43,000/43/00043__001.jpg,Abutilon viscosum (L.) Dorr,Malvaceae,Abutilon,viscosum,000,43
44,00044__001,44,000/44/00044__001.jpg,Abutilon wrightii A.Gray,Malvaceae,Abutilon,wrightii,000,44
45,00045__001,45,000/45/00045__001.jpg,Acaciella angustissima (Mill.) Britton & Rose,Fabaceae,Acaciella,angustissima,000,45
46,00046__001,46,000/46/00046__001.jpg,Acaciella villosa (Sw.) Britton & Rose,Fabaceae,Acaciella,villosa,000,46
47,00047__001,47,000/47/00047__001.jpg,Acaena pinnatifida Ruiz & Pav.,Rosaceae,Acaena,pinnatifida,000,47
48,00048__001,48,000/48/00048__001.jpg,Acalypha alopecuroidea Jacq.,Euphorbiaceae,Acalypha,alopecuroidea,000,48
49,00049__002,49,000/49/00049__002.jpg,Acalypha arvensis Poepp.,Euphorbiaceae,Acalypha,arvensis,000,49
50,00050__001,50,000/50/00050__001.jpg,Acalypha bisetosa Bertol. ex Spreng.,Euphorbiaceae,Acalypha,bisetosa,000,50
51,00051__001,51,000/51/00051__001.jpg,Acalypha californica Benth.,Euphorbiaceae,Acalypha,californica,000,51
52,00052__002,52,000/52/00052__002.jpg,Acalypha chamaedrifolia (Lam.) Müll.Arg.,Euphorbiaceae,Acalypha,chamaedrifolia,000,52
53,00053__003,53,000/53/00053__003.jpg,Acalypha cuspidata Jacq.,Euphorbiaceae,Acalypha,cuspidata,000,53
54,00054__002,54,000/54/00054__002.jpg,Acalypha deamii (Weath.) Ahles,Euphorbiaceae,Acalypha,deamii,000,54
55,00055__001,55,000/55/00055__001.jpg,Acalypha gracilens A.Gray,Euphorbiaceae,Acalypha,gracilens,000,55
56,00056__001,56,000/56/00056__001.jpg,Acalypha monococca (Engelm. ex A.Gray) Lill.W.Mill. & Gandhi,Euphorbiaceae,Acalypha,monococca,000,56
57,00057__002,57,000/57/00057__002.jpg,Acalypha monostachya Cav.,Euphorbiaceae,Acalypha,monostachya,000,57
58,00058__001,58,000/58/00058__001.jpg,Acalypha neomexicana Müll.Arg.,Euphorbiaceae,Acalypha,neomexicana,000,58
59,00059__001,59,000/59/00059__001.jpg,Acalypha persimilis Müll.Arg.,Euphorbiaceae,Acalypha,persimilis,000,59
60,00060__001,60,000/60/00060__001.jpg,Acalypha phleoides Cav.,Euphorbiaceae,Acalypha,phleoides,000,60
61,00061__001,61,000/61/00061__001.jpg,Acalypha poiretii Spreng.,Euphorbiaceae,Acalypha,poiretii,000,61
62,00062__001,62,000/62/00062__001.jpg,Acalypha radians Torr.,Euphorbiaceae,Acalypha,radians,000,62
63,00063__001,63,000/63/00063__001.jpg,Acalypha rhomboidea Raf.,Euphorbiaceae,Acalypha,rhomboidea,000,63
64,00064__001,64,000/64/00064__001.jpg,Acalypha setosa A.Rich.,Euphorbiaceae,Acalypha,setosa,000,64
65,00065__001,65,000/65/00065__001.jpg,Acalypha villosa Jacq.,Euphorbiaceae,Acalypha,villosa,000,65
66,00066__001,66,000/66/00066__001.jpg,Acalypha virginica L.,Euphorbiaceae,Acalypha,virginica,000,66
67,00067__001,67,000/67/00067__001.jpg,Acamptopappus shockleyi A.Gray,Asteraceae,Acamptopappus,shockleyi,000,67
68,00068__001,68,000/68/00068__001.jpg,Acamptopappus sphaerocephalus A.Gray,Asteraceae,Acamptopappus,sphaerocephalus,000,68
69,00069__002,69,000/69/00069__002.jpg,Acanthocereus tetragonus (L.) Hummelinck,Cactaceae,Acanthocereus,tetragonus,000,69
70,00070__001,70,000/70/00070__001.jpg,Acanthomintha ilicifolia A.Gray,Lamiaceae,Acanthomintha,ilicifolia,000,70
71,00071__002,71,000/71/00071__002.jpg,Acanthomintha lanceolata Curran,Lamiaceae,Acanthomintha,lanceolata,000,71
72,00072__001,72,000/72/00072__001.jpg,Acanthomintha obovata Jeps.,Lamiaceae,Acanthomintha,obovata,000,72
73,00073__002,73,000/73/00073__002.jpg,Acanthoscyphus parishii (Parry) Small,Polygonaceae,Acanthoscyphus,parishii,000,73
74,00074__001,74,000/74/00074__001.jpg,Acanthospermum australe (Loefl.) Kuntze,Asteraceae,Acanthospermum,australe,000,74
75,00075__001,75,000/75/00075__001.jpg,Acanthospermum hispidum DC.,Asteraceae,Acanthospermum,hispidum,000,75
76,00076__001,76,000/76/00076__001.jpg,Acanthospermum humile (Sw.) DC.,Asteraceae,Acanthospermum,humile,000,76
77,00077__002,77,000/77/00077__002.jpg,Acanthostachys strobilacea (Schult. & Schult.f.) Klotzsch,Bromeliaceae,Acanthostachys,strobilacea,000,77
78,00078__002,78,000/78/00078__002.jpg,Acanthostyles buniifolius (Hook. & Arn.) R.M.King & H.Rob.,Asteraceae,Acanthostyles,buniifolius,000,78
79,00079__001,79,000/79/00079__001.jpg,Acer circinatum Pursh,Sapindaceae,Acer,circinatum,000,79
80,00080__001,80,000/80/00080__001.jpg,Acer glabrum Torr.,Sapindaceae,Acer,glabrum,000,80
81,00081__001,81,000/81/00081__001.jpg,Acer grandidentatum Nutt.,Sapindaceae,Acer,grandidentatum,000,81
82,00082__001,82,000/82/00082__001.jpg,Acer macrophyllum Pursh,Sapindaceae,Acer,macrophyllum,000,82
83,00083__002,83,000/83/00083__002.jpg,Acer negundo L.,Sapindaceae,Acer,negundo,000,83
84,00084__003,84,000/84/00084__003.jpg,Acer pensylvanicum L.,Sapindaceae,Acer,pensylvanicum,000,84
85,00085__001,85,000/85/00085__001.jpg,Acer platanoides L.,Sapindaceae,Acer,platanoides,000,85
86,00086__002,86,000/86/00086__002.jpg,Acer rubrum L.,Sapindaceae,Acer,rubrum,000,86
87,00087__001,87,000/87/00087__001.jpg,Acer saccharinum L.,Sapindaceae,Acer,saccharinum,000,87
88,00088__002,88,000/88/00088__002.jpg,Acer saccharum Marshall,Sapindaceae,Acer,saccharum,000,88
